range_start,range_end,locationid,total
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,66,15160
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,211,106422
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,6,144
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,191,2475
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,188,9388
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,146,12859
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,215,2605
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,185,1537
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,144,111743
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,262,205795
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,124,2075
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,253,126
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,203,1822
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,165,3500
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,255,31998
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,244,44549
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,117,1489
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,223,19744
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,16,2058
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,158,120419
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,216,8400
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,142,353642
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,119,2561
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,40,10925
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,95,14811
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,90,179817
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,212,1285
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,154,124
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,254,1933
2022-05-01T00:00:00.000-07:00,2022-09-01T00:00:00.000-07:00,246,250494
2022-05-01T00:00:00.000-07:00,2022-09-01T00:00:00.000-07:00,219,5676
2022-05-01T00:00:00.000-07:00,2022-09-01T00:00:00.000-07:00,234,303340
2022-05-01T00:00:00.000-07:00,2022-09-01T00:00:00.000-07:00,259,1665
2022-05-01T00:00:00.000-07:00,2022-09-01T00:00:00.000-07:00,14,9553
2022-05-01T00:00:00.000-07:00,2022-09-01T00:00:00.000-07:00,206,342
2022-05-01T00:00:00.000-07:00,2022-09-01T00:00:00.000-07:00,66,18659
2022-05-01T00:00:00.000-07:00,2022-09-01T00:00:00.000-07:00,15,1628
2022-05-01T00:00:00.000-07:00,2022-09-01T00:00:00.000-07:00,223,21240
2022-05-01T00:00:00.000-07:00,2022-09-01T00:00:00.000-07:00,157,4661
2022-05-01T00:00:00.000-07:00,2022-09-01T00:00:00.000-07:00,194,1948
2022-05-01T00:00:00.000-07:00,2022-09-01T00:00:00.000-07:00,136,1847
2022-05-01T00:00:00.000-07:00,2022-09-01T00:00:00.000-07:00,65,20938
2022-05-01T00:00:00.000-07:00,2022-09-01T00:00:00.000-07:00,72,3250
2022-05-01T00:00:00.000-07:00,2022-09-01T00:00:00.000-07:00,176,94
2022-05-01T00:00:00.000-07:00,2022-09-01T00:00:00.000-07:00,175,1448
2022-05-01T00:00:00.000-07:00,2022-09-01T00:00:00.000-07:00,123,1955
2022-05-01T00:00:00.000-07:00,2022-09-01T00:00:00.000-07:00,229,279196
2022-05-01T00:00:00.000-07:00,2022-09-01T00:00:00.000-07:00,187,104
2022-05-01T00:00:00.000-07:00,2022-09-01T00:00:00.000-07:00,256,30406
2022-05-01T00:00:00.000-07:00,2022-09-01T00:00:00.000-07:00,46,303
2022-05-01T00:00:00.000-07:00,2022-09-01T00:00:00.000-07:00,83,4060
2022-05-01T00:00:00.000-07:00,2022-09-01T00:00:00.000-07:00,79,278715
2022-05-01T00:00:00.000-07:00,2022-09-01T00:00:00.000-07:00,252,2649
2022-05-01T00:00:00.000-07:00,2022-09-01T00:00:00.000-07:00,188,11646
2022-05-01T00:00:00.000-07:00,2022-09-01T00:00:00.000-07:00,198,8027
2022-05-01T00:00:00.000-07:00,2022-09-01T00:00:00.000-07:00,60,997
2022-05-01T00:00:00.000-07:00,2022-09-01T00:00:00.000-07:00,257,5779
2022-05-01T00:00:00.000-07:00,2022-09-01T00:00:00.000-07:00,54,2811
2022-05-01T00:00:00.000-07:00,2022-09-01T00:00:00.000-07:00,230,418590
2022-05-01T00:00:00.000-07:00,2022-09-01T00:00:00.000-07:00,183,740
2022-05-01T00:00:00.000-07:00,2022-09-01T00:00:00.000-07:00,233,210699
2022-05-01T00:00:00.000-07:00,2022-09-01T00:00:00.000-07:00,47,1464
2022-05-01T00:00:00.000-07:00,2022-09-01T00:00:00.000-07:00,36,10748
2022-05-01T00:00:00.000-07:00,2022-09-01T00:00:00.000-07:00,87,105060
2022-05-01T00:00:00.000-07:00,2022-09-01T00:00:00.000-07:00,62,6435
2022-05-01T00:00:00.000-07:00,2022-09-01T00:00:00.000-07:00,21,1675
2022-05-01T00:00:00.000-07:00,2022-09-01T00:00:00.000-07:00,235,2436
2022-05-01T00:00:00.000-07:00,2022-09-01T00:00:00.000-07:00,126,1302
2022-05-01T00:00:00.000-07:00,2022-09-01T00:00:00.000-07:00,249,217572
2022-05-01T00:00:00.000-07:00,2022-09-01T00:00:00.000-07:00,184,194
2022-05-01T00:00:00.000-07:00,2022-09-01T00:00:00.000-07:00,202,7655
2022-05-01T00:00:00.000-07:00,2022-09-01T00:00:00.000-07:00,28,5125
2022-05-01T00:00:00.000-07:00,2022-09-01T00:00:00.000-07:00,22,2454
2022-05-01T00:00:00.000-07:00,2022-09-01T00:00:00.000-07:00,68,329286
2022-05-01T00:00:00.000-07:00,2022-09-01T00:00:00.000-07:00,163,329177
2022-05-01T00:00:00.000-07:00,2022-09-01T00:00:00.000-07:00,86,2786
2022-05-01T00:00:00.000-07:00,2022-09-01T00:00:00.000-07:00,218,4407
2022-05-01T00:00:00.000-07:00,2022-09-01T00:00:00.000-07:00,6,216
2022-05-01T00:00:00.000-07:00,2022-09-01T00:00:00.000-07:00,43,170562
2022-05-01T00:00:00.000-07:00,2022-09-01T00:00:00.000-07:00,196,5145
2022-05-01T00:00:00.000-07:00,2022-09-01T00:00:00.000-07:00,55,2689
2022-05-01T00:00:00.000-07:00,2022-09-01T00:00:00.000-07:00,132,201026
2022-05-01T00:00:00.000-07:00,2022-09-01T00:00:00.000-07:00,45,34536
2022-05-01T00:00:00.000-07:00,2022-09-01T00:00:00.000-07:00,149,1846
2022-05-01T00:00:00.000-07:00,2022-09-01T00:00:00.000-07:00,38,2509
2022-05-01T00:00:00.000-07:00,2022-09-01T00:00:00.000-07:00,37,17803
