range_start,range_end,locationid,total
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,81,952
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,196,4458
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,189,11661
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,165,3363
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,59,80
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,179,13261
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,186,277083
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,242,2045
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,120,601
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,25,20392
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,40,10755
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,210,1978
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,222,1279
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,224,51379
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,95,15910
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,246,233412
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,166,92690
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,123,2232
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,61,19636
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,129,17914
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,254,1932
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,157,4025
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,13,89953
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,126,1168
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,5,254
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,57,197
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,227,2248
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,168,7668
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,6,352
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,183,553
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,261,54844
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,91,2997
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,107,250969
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,219,5452
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,181,33543
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,207,1033
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,43,149813
2023-01-01T00:00:00.000-08:00,2023-05-01T00:00:00.000-07:00,54,2748
